Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Organelle Organization (GO:0006996)	22/437	3.27119740026257E-7	3.361986163453562E-4	0	0	3.9052883288880715	58.31743456257502	TDRKH;DYNC2H1;CUL7;ABCD3;ATL3;SEC16A;SIRT5;AUP1;TOR1B;FANCG;MTOR;VMP1;SMPD4;HAX1;DOP1B;ZW10;BNIP1;DYM;ARHGEF7;ATP7A;ABCD1;PI4K2A
ERAD Pathway (GO:0036503)	10/91	6.64172149767509E-7	3.361986163453562E-4	0	0	8.84698567180319	125.84593347743393	OS9;FBXO2;UBE4A;FBXO6;MAN1A1;STUB1;AUP1;MAN1B1;STT3B;ECPAS
Response to Endoplasmic Reticulum Stress (GO:0034976)	14/196	8.626006833748716E-7	3.361986163453562E-4	0	0	5.565242165242165	77.70922361952337	PTPN1;JUN;FBXO2;SEC16A;UBE4A;AUP1;ECPAS;OS9;FBXO6;HYOU1;MAN1A1;STUB1;STT3B;MAN1B1
Endomembrane System Organization (GO:0010256)	14/196	8.626006833748716E-7	3.361986163453562E-4	0	0	5.565242165242165	77.70922361952337	DYNC2H1;CUL7;EXOC8;ATL3;SEC16A;TOR1B;VMP1;SMPD4;DOP1B;ZW10;BNIP1;DYM;ARHGEF7;PI4K2A
Retrograde Vesicle-Mediated Transport, Golgi to Endoplasmic Reticulum (GO:0006890)	7/47	4.182506777026147E-6	0.0013041056130767526	0	0	12.430685920577618	153.9490701639457	NBAS;ZW10;BNIP1;KIF1C;COPG2;RAB6A;ERGIC1
snRNA Processing (GO:0016180)	5/20	7.2554747306733826E-6	0.0018852141841866337	0	0	23.537634408602152	278.5385809542047	INTS1;INTS2;INTS5;INTS4;INTS8
snRNA Metabolic Process (GO:0016073)	5/22	1.2040089014100032E-5	0.0023870848142279965	0	0	20.76639257853679	235.22650918413044	INTS1;INTS2;INTS5;INTS4;INTS8
Endoplasmic Reticulum Organization (GO:0007029)	7/55	1.2249312709316211E-5	0.0023870848142279965	0	0	10.354693140794224	117.11200114738725	RTN3;SMPD4;ATL3;DOP1B;SEC16A;BNIP1;TOR1B
Golgi Organization (GO:0007030)	9/128	9.028617951340187E-5	0.01563957265126595	0	0	5.389549274255157	50.19031860736722	DYNC2H1;VMP1;CUL7;ATL3;ZW10;SEC16A;DYM;ARHGEF7;PI4K2A
Glycoprotein Catabolic Process (GO:0006516)	4/19	1.3039899148283238E-4	0.01855946840779005	0	0	18.762857142857143	167.83209930425105	FBXO2;FBXO6;MAN1B1;STT3B
