Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation of Protein Localization to Early Endosome (GO:1902965)	3/9	6.078588759069449E-5	0.023868591860612704	0	0	55.03055555555556	534.2450479416408	RDX;EZR;SORL1
Positive Regulation of Protein Localization to Early Endosome (GO:1902966)	3/9	6.078588759069449E-5	0.023868591860612704	0	0	55.03055555555556	534.2450479416408	RDX;EZR;SORL1
Positive Regulation of Protein Localization to Endosome (GO:1905668)	3/9	6.078588759069449E-5	0.023868591860612704	0	0	55.03055555555556	534.2450479416408	RDX;EZR;SORL1
Positive Regulation of Intracellular Transport (GO:0032388)	5/49	8.35507056246698E-5	0.024605682806465256	0	0	12.623212461695609	118.53268273862574	FYCO1;CEP131;RDX;EZR;SORL1
Microvillus Assembly (GO:0030033)	3/14	2.546653346822298E-4	0.05999915285113334	0	0	30.009090909090908	248.34204099980022	MINK1;RAPGEF2;EZR
Positive Regulation of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032436)	5/71	4.8506431002880135E-4	0.095234292868988	0	0	8.406111678583589	64.14896387300601	SH3RF3;ZYG11B;ZER1;RAD23A;GABARAP
Mitotic Sister Chromatid Segregation (GO:0000070)	6/120	8.338287248334666E-4	0.12343951192911053	0	0	5.858757062146893	41.53555591344307	AKAP8L;NCAPG2;CEP192;ZWINT;EML3;CLASP2
Proteolysis Involved in Protein Catabolic Process (GO:0051603)	5/80	8.382988925576267E-4	0.12343951192911053	0	0	7.394007490636704	52.38015352020596	ZYG11B;ZER1;LONP1;IDE;CTSC
Positive Regulation of Centriole Elongation (GO:1903724)	2/6	0.0012191679964443463	0.12996336176439832	0	0	54.732044198895025	367.22939160700554	CEP295;POC1B
Maintenance of Protein Location in Extracellular Region (GO:0071694)	2/6	0.0012191679964443463	0.12996336176439832	0	0	54.732044198895025	367.22939160700554	FBN2;FBN1
Positive Regulation of Ubiquitin-Dependent Protein Catabolic Process (GO:2000060)	5/88	0.001288219330105209	0.12996336176439832	0	0	6.678624610802761	44.442869928354476	SH3RF3;ZYG11B;ZER1;RAD23A;GABARAP
Endothelial Cell Development (GO:0001885)	3/24	0.0013239052132196772	0.12996336176439832	0	0	15.71111111111111	104.12019503521132	RDX;RAPGEF2;EZR
Receptor-Mediated Endocytosis (GO:0006898)	6/136	0.001591206740058309	0.13243642772211783	0	0	5.133507170795307	33.07653473269604	AP2A1;ARRB2;AP2B1;AP2A2;SORL1;REPS1
Negative Regulation of Neurogenesis (GO:0050768)	3/27	0.0018751224035027853	0.13243642772211783	0	0	13.745138888888889	86.30684511048912	FYCO1;RAPGEF2;SORL1
Protein Quality Control for Misfolded or Incompletely Synthesized Proteins (GO:0006515)	3/27	0.0018751224035027853	0.13243642772211783	0	0	13.745138888888889	86.30684511048912	ZYG11B;ZER1;LONP1
