Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
mRNA surveillance pathway	9/98	1.0790204697152795E-5	0.0022983136004935453	0	0	7.217282941777324	82.54313980622229	PNN;SMG1;PABPN1;MAGOH;CSTF2;PABPC4L;SYMPK;SAP18;CASC3
Protein processing in endoplasmic reticulum	11/171	3.455898656390864E-5	0.0036805320690562705	0	0	4.92481684981685	50.59186999864966	DNAJC3;RPN2;OS9;FBXO2;FBXO6;HYOU1;MAN1A1;STUB1;STT3B;MAN1B1;SEC23B
Various types of N-glycan biosynthesis	4/39	0.002214446194093101	0.1437970131864364	0	0	8.033061224489796	49.10411855282862	RPN2;MAN1A1;MAN1B1;STT3B
Steroid biosynthesis	3/20	0.0027004133931725145	0.1437970131864364	0	0	12.37115344358384	73.1673364302148	SQLE;DHCR24;LSS
Vasopressin-regulated water reabsorption	4/44	0.0034579438534644443	0.14730840815758534	0	0	7.027142857142858	39.82338867341406	DYNC2LI1;DYNC2H1;RAB5B;RAB5A
RNA transport	8/186	0.005209183949523719	0.1670587900364157	0	0	3.181566520110731	16.72655168964422	CYFIP2;PNN;EIF2B4;FMR1;MAGOH;PABPC4L;SAP18;CASC3
N-Glycan biosynthesis	4/50	0.005490194977722581	0.1670587900364157	0	0	6.108695652173913	31.794487261643418	RPN2;MAN1A1;MAN1B1;STT3B
Fanconi anemia pathway	4/54	0.007214166896989218	0.19207719363233794	0	0	5.618857142857143	27.710565877925962	FANCA;RPA1;FANCG;ATR
Yersinia infection	6/137	0.013619866447474531	0.32233683925689727	0	0	3.2267010818825854	13.862636385010582	ITGB1;JUN;ELMO2;RAC3;ARHGEF7;SKAP2
Adherens junction	4/71	0.018397213025698137	0.34115943978137747	0	0	4.1895522388059705	16.73959096981795	PTPN1;RAC3;PTPRF;IGF1R
Insulin resistance	5/108	0.019008006719571684	0.34115943978137747	0	0	3.412499565020705	13.52337740328444	PTPN1;PRKAB2;PTPRF;MTOR;SLC27A4
Cell adhesion molecules	6/148	0.019220250128528307	0.34115943978137747	0	0	2.975073462356875	11.756868120991859	ITGB1;SDC4;NRXN3;SDC1;GLG1;PTPRF
ABC transporters	3/45	0.025930829496161958	0.39041882493180113	0	0	5.0010167768174885	18.265327047632493	ABCD3;ABCB7;ABCD1
Salmonella infection	8/249	0.026315802322487782	0.39041882493180113	0	0	2.342293583498707	8.520293577715629	CYFIP2;DYNC2H1;DYNC2LI1;JUN;RAB5B;ELMO2;TAB3;RAB5A
Proteoglycans in cancer	7/205	0.02749428344590149	0.39041882493180113	0	0	2.4910841264631878	8.952401263759935	ITGB1;SDC4;GPC1;GPC3;SDC1;MTOR;IGF1R
Sphingolipid metabolism	3/49	0.03231344721523232	0.43017276605278026	0	0	4.565217391304348	15.669066972111274	SMPD2;SMPD4;SPTLC2
ECM-receptor interaction	4/88	0.0367100374008621	0.45995517449315454	0	0	3.3387755102040817	11.033668331638157	ITGB1;SDC4;SDC1;AGRN
Fluid shear stress and atherosclerosis	5/139	0.048431728568570635	0.5125528841512942	0	0	2.618894773444605	7.928966159419263	JUN;SDC4;GPC1;SDC1;RAC3
Glycerophospholipid metabolism	4/98	0.051056844322946986	0.5125528841512942	0	0	2.982066869300912	8.871099258910059	LPGAT1;LPCAT4;AGPAT2;AGPAT4
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	2/26	0.052218467548851275	0.5125528841512942	0	0	5.819148936170213	17.17998433003476	PIGT;PIGK
Spinocerebellar ataxia	5/143	0.05349319940312021	0.5125528841512942	0	0	2.5424653264765467	7.4448488685158525	ATXN2L;PSMB6;VLDLR;MTOR;PUM2
Glycerolipid metabolism	3/61	0.055848690644660685	0.5125528841512942	0	0	3.6184807951895936	10.439712224567744	AGPAT2;AGPAT4;PNPLA2
Longevity regulating pathway	4/102	0.05754030294579225	0.5125528841512942	0	0	2.8597667638483966	8.165405263803992	PRKAB2;EHMT2;MTOR;IGF1R
Lysine degradation	3/63	0.060385166853436346	0.5125528841512942	0	0	3.497508896797153	9.817548695293231	ECHS1;EHMT2;PLOD2
Shigellosis	7/246	0.062206785289081946	0.5125528841512942	0	0	2.0594081839191576	5.719576220100313	ITGB1;JUN;ELMO2;TAB3;ATM;SEPTIN11;MTOR
Phagosome	5/152	0.06596391414012925	0.5125528841512942	0	0	2.385706970960427	6.485896153804641	DYNC2H1;ATP6V1A;ITGB1;RAB5B;RAB5A
Glyoxylate and dicarboxylate metabolism	2/30	0.06737784392599173	0.5125528841512942	0	0	4.9868287740628165	13.451666622146625	PGP;MMUT
beta-Alanine metabolism	2/30	0.06737784392599173	0.5125528841512942	0	0	4.9868287740628165	13.451666622146625	ECHS1;CNDP2
Propanoate metabolism	2/34	0.08378333111968966	0.6153741216722034	0	0	4.36258865248227	10.817131067866029	ECHS1;MMUT
DNA replication	2/36	0.09239508766254761	0.6427661161916869	0	0	4.105548602419692	9.778109012392061	RPA1;MCM4
Tight junction	5/169	0.09354812019691218	0.6427661161916869	0	0	2.136550397762042	5.06208467476099	ITGB1;PRKAB2;JUN;SYMPK;ARHGAP17
Bacterial invasion of epithelial cells	3/77	0.09659572504686324	0.6429652948431834	0	0	2.8337982110224105	6.623212101730217	ITGB1;ELMO2;SEPTIN11
Ferroptosis	2/41	0.11494617396997868	0.7201039722236899	0	0	3.5782869612656847	7.740877097383889	GPX4;SLC3A2
Homologous recombination	2/41	0.11494617396997868	0.7201039722236899	0	0	3.5782869612656847	7.740877097383889	RPA1;ATM
Colorectal cancer	3/86	0.12353205555852215	0.7353263660769609	0	0	2.5253612314024783	5.28117328530516	JUN;RAC3;MTOR
Fat digestion and absorption	2/43	0.12432340585585501	0.7353263660769609	0	0	3.403390416882892	7.095623164361508	AGPAT2;SLC27A4
Autophagy	4/137	0.13118498549729818	0.7353263660769609	0	0	2.10343716433942	4.272389768055845	VMP1;ZFYVE1;MTOR;IGF1R
Insulin signaling pathway	4/137	0.13118498549729818	0.7353263660769609	0	0	2.10343716433942	4.272389768055845	PTPN1;PRKAB2;PTPRF;MTOR
Proteasome	2/46	0.13871407164742003	0.7389150523828071	0	0	3.1708575112830433	6.263523271180241	PSMB6;PSMF1
