Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Other glycan degradation	3/18	5.557190013803392E-4	0.10447517225950377	0	0	22.002222222222223	164.9121073688998	GLB1;NEU1;ENGASE
Salmonella infection	8/249	0.002129192720691078	0.20014411574496133	0	0	3.7132898636633076	22.84420519496954	FYCO1;ACTR2;TUBB3;PKN1;RAF1;KLC1;PIK3C2A;TUBB4A
Synaptic vesicle cycle	4/78	0.005715378300377674	0.35816370682366755	0	0	5.961950777593236	30.791059922014202	ATP6V1A;AP2A1;AP2B1;AP2A2
Endocytosis	7/252	0.008663966646722514	0.37667393977577435	0	0	3.1772727272727272	15.08754204832904	ACTR2;IQSEC2;PSD3;AP2A1;ARRB2;AP2B1;AP2A2
Arginine and proline metabolism	3/50	0.010777419436039482	0.37667393977577435	0	0	7.01063829787234	31.76030958946576	P4HA2;CKB;PYCR3
Endocrine and other factor-regulated calcium reabsorption	3/53	0.01262742743098911	0.37667393977577435	0	0	6.589	28.806344009014953	AP2A1;AP2B1;AP2A2
Parathyroid hormone synthesis, secretion and action	4/106	0.01635772116739506	0.37667393977577435	0	0	4.3192025413517365	17.76511869049057	ATF2;CREB1;ARRB2;RAF1
Hepatitis B	5/162	0.016771995082790078	0.37667393977577435	0	0	3.5174980319187004	14.379689337382297	CCNA2;ATF2;CREB1;RAF1;YWHAZ
Amyotrophic lateral sclerosis	8/364	0.019148812727779022	0.37667393977577435	0	0	2.4990048154093096	9.884849942425003	GLE1;GABARAPL2;TUBB3;NUP88;NRG1;KLC1;TUBB4A;GABARAP
Lysine degradation	3/63	0.020035847860413528	0.37667393977577435	0	0	5.4880555555555555	21.45957164106951	MECOM;KMT2B;PLOD2
Huntington disease	7/306	0.022828446236229354	0.39015889931010167	0	0	2.59626786257221	9.813237946198935	CREB1;TUBB3;AP2A1;AP2B1;KLC1;AP2A2;TUBB4A
Lysosome	4/128	0.030145763798182193	0.44679963301193026	0	0	3.548927734726978	12.42731882513624	GLB1;NEU1;AP1B1;CTSC
Relaxin signaling pathway	4/129	0.030895719304016453	0.44679963301193026	0	0	3.5203575418994415	12.240767710006494	ATF2;CREB1;ARRB2;RAF1
Prion disease	6/273	0.03998415583921583	0.5369300926980412	0	0	2.4820669078905606	7.990448516961025	ATF2;CREB1;TUBB3;LAMC1;KLC1;TUBB4A
PI3K-Akt signaling pathway	7/354	0.04470505311289299	0.5521806715317955	0	0	2.231628242074928	6.935161324342169	ATF2;CREB1;COL6A1;LAMC1;PKN1;RAF1;YWHAZ
Gap junction	3/88	0.04699409970483366	0.5521806715317955	0	0	3.8690196078431374	11.830429796685594	TUBB3;RAF1;TUBB4A
MAPK signaling pathway	6/294	0.05373797561309939	0.5942787891330992	0	0	2.298611111111111	6.7203006923591015	ATF2;MECOM;RAPGEF2;ARRB2;MAP3K6;RAF1
Progesterone-mediated oocyte maturation	3/100	0.06405277128626886	0.6031312343748512	0	0	3.388316151202749	9.31125536856977	CCNA2;RAF1;AURKA
Tight junction	4/169	0.06990360845717465	0.6031312343748512	0	0	2.6615202302353143	7.081341883463314	ACTR2;RDX;RAPGEF2;EZR
Riboflavin metabolism	1/8	0.07090992067371144	0.6031312343748512	0	0	15.54945054945055	41.14920963136887	ACP1
Sphingolipid metabolism	2/49	0.0740376032488283	0.6031312343748512	0	0	4.647936993064535	12.099426674313927	GLB1;NEU1
Cocaine addiction	2/49	0.0740376032488283	0.6031312343748512	0	0	4.647936993064535	12.099426674313927	ATF2;CREB1
Human papillomavirus infection	6/331	0.08420793893216882	0.6031312343748512	0	0	2.033063885267275	5.030747613566973	ATP6V1A;CCNA2;CREB1;COL6A1;LAMC1;RAF1
NOD-like receptor signaling pathway	4/181	0.08495867041097563	0.6031312343748512	0	0	2.479563172679355	6.1135870833385875	GABARAPL2;RBCK1;PKN1;GABARAP
Growth hormone synthesis, secretion and action	3/119	0.09596105070524968	0.6031312343748512	0	0	2.830603448275862	6.634404853251829	ATF2;CREB1;RAF1
Kaposi sarcoma-associated herpesvirus infection	4/193	0.10146013363061994	0.6031312343748512	0	0	2.3207117732257396	5.309995845783822	GABARAPL2;CREB1;RAF1;GABARAP
Pathogenic Escherichia coli infection	4/197	0.10726725894353628	0.6031312343748512	0	0	2.2721509827191944	5.072422134512823	ACTR2;TUBB3;EZR;TUBB4A
Viral carcinogenesis	4/203	0.11625310844117043	0.6031312343748512	0	0	2.202970158052834	4.7407598273545215	CCNA2;ATF2;CREB1;YWHAZ
GnRH secretion	2/64	0.11633416287053167	0.6031312343748512	0	0	3.5207627873819285	7.574176547763059	ARRB2;RAF1
FoxO signaling pathway	3/131	0.11883962986862356	0.6031312343748512	0	0	2.563671875	5.460570699467092	GABARAPL2;RAF1;GABARAP
Cortisol synthesis and secretion	2/65	0.1193368488638202	0.6031312343748512	0	0	3.4647022713321056	7.365281834363043	ATF2;CREB1
Dopaminergic synapse	3/132	0.1208309876358203	0.6031312343748512	0	0	2.543669250645995	5.3756952225222125	ATF2;CREB1;ARRB2
Alzheimer disease	6/369	0.12364511340663276	0.6031312343748512	0	0	1.8166876780127936	3.797494567245903	LRP1;TUBB3;IDE;RAF1;KLC1;TUBB4A
Acute myeloid leukemia	2/67	0.12539930721553624	0.6031312343748512	0	0	3.3577560560985975	6.971548315922386	CCNA2;RAF1
Rap1 signaling pathway	4/210	0.1271382972166007	0.6031312343748512	0	0	2.1273526061723707	4.38762184268349	FARP2;RAPGEF2;RAF1;SIPA1L2
Mitophagy	2/68	0.12845789260168228	0.6031312343748512	0	0	3.306713544282605	6.785885798364203	GABARAPL2;GABARAP
Thiamine metabolism	1/15	0.12884021841726567	0.6031312343748512	0	0	7.771978021978022	15.926199482002438	ACP1
Apelin signaling pathway	3/137	0.1309693763659829	0.6031312343748512	0	0	2.448134328358209	4.976547268779621	GABARAPL2;RAF1;GABARAP
Autophagy	3/137	0.1309693763659829	0.6031312343748512	0	0	2.448134328358209	4.976547268779621	GABARAPL2;RAF1;GABARAP
Estrogen signaling pathway	3/137	0.1309693763659829	0.6031312343748512	0	0	2.448134328358209	4.976547268779621	ATF2;CREB1;RAF1
Amphetamine addiction	2/69	0.1315339394115367	0.6031312343748512	0	0	3.257194689535747	6.607188048823703	ATF2;CREB1
Adherens junction	2/71	0.13773614309539095	0.6046152466245694	0	0	3.162462967411322	6.269315385290633	FARP2;ACP1
Regulation of actin cytoskeleton	4/218	0.14008133882090634	0.6046152466245694	0	0	2.0469900276719053	4.023424471654813	ACTR2;RDX;RAF1;EZR
p53 signaling pathway	2/73	0.1440014579582956	0.6046152466245694	0	0	3.0730682437164423	5.9553968413095255	RRM2B;GORAB
Nitrogen metabolism	1/17	0.1447217345643916	0.6046152466245694	0	0	6.799793956043956	13.143610404592614	CPS1
Thyroid hormone synthesis	2/75	0.1503255621572633	0.6140333865710906	0	0	2.9885718610459397	5.663199993471674	ATF2;CREB1
Chronic myeloid leukemia	2/76	0.15350834664277266	0.6140333865710906	0	0	2.9480364342242797	5.524621273907974	MECOM;RAF1
Glycosaminoglycan degradation	1/19	0.16031527965712492	0.6255178364476589	0	0	6.0436507936507935	11.063585134814165	GLB1
Phagosome	3/152	0.16303390418050684	0.6255178364476589	0	0	2.2	3.9903536171338443	ATP6V1A;TUBB3;TUBB4A
Chemical carcinogenesis	4/239	0.17635845674800543	0.6502748197116666	0	0	1.8620706050160465	3.231133194293859	ATF2;CREB1;ARRB2;RAF1
ErbB signaling pathway	2/85	0.18268591330280246	0.6502748197116666	0	0	2.6271716701058376	4.466157479600555	NRG1;RAF1
Arginine biosynthesis	1/22	0.18317698620999942	0.6502748197116666	0	0	5.17948717948718	8.791156309308382	CPS1
Insulin secretion	2/86	0.18597838533170383	0.6502748197116666	0	0	2.595764272559853	4.3663995095232515	ATF2;CREB1
Shigellosis	4/246	0.18910716109499182	0.6502748197116666	0	0	1.807562676023824	3.010389776431057	GABARAPL2;ACTR2;RBCK1;GABARAP
ECM-receptor interaction	2/88	0.19258827425378708	0.6502748197116666	0	0	2.5351406912501604	4.175885426949254	COL6A1;LAMC1
GABAergic synapse	2/89	0.1959048436845763	0.6502748197116666	0	0	2.5058741347558264	4.084891153753305	GABARAPL2;GABARAP
cGMP-PKG signaling pathway	3/167	0.19715779108279252	0.6502748197116666	0	0	1.9972560975609757	3.243046387714672	ATF2;CREB1;RAF1
Protein processing in endoplasmic reticulum	3/171	0.2065384801166409	0.6639644159493328	0	0	1.9493055555555556	3.07457832674878	ERO1B;HYOU1;RAD23A
TGF-beta signaling pathway	2/94	0.2125876118575036	0.6639644159493328	0	0	2.369084794619265	3.668293465242333	INHBE;FBN1
Collecting duct acid secretion	1/27	0.21991222728692808	0.6639644159493328	0	0	4.182375316990702	6.334319417895495	ATP6V1A
Fc gamma R-mediated phagocytosis	2/97	0.22266317596619356	0.6639644159493328	0	0	2.2939226519337015	3.4456899088051838	ACTR2;RAF1
Prostate cancer	2/97	0.22266317596619356	0.6639644159493328	0	0	2.2939226519337015	3.4456899088051838	CREB1;RAF1
