Gene Name Source,Gene Name Target,log2FC_PSM,weight,specificity,PSM_risk,PSM_nonrisk,Interaction,in_cad_gwas,in_biogrid,in_cad_eqtl,in_cad_gwas_aragam_2022,in_condition_specific_eqtl,in_condition_specific_sqtl,in_smc_elevated,source_harmonized,target_harmonized,source_primary_category,target_primary_category,specificity_target,in_biogrid_edge,source_for_target
ADAMTS7,AHDC1,1.736965594,1.736965594,risk-specific,2.333333333,0,Interaction,YES,NO,NO,NO,NO,NO,NO,ADAMTS7,AHDC1,Catalytic/Enzymatic,Differentiation/Development,risk-specific,NO,ADAMTS7
ADAMTS7,AKAP8L,6.215937399,6.215937399,risk-specific,73.33333333,0,Interaction,NO,NO,NO,NO,NO,YES,NO,ADAMTS7,AKAP8L,Catalytic/Enzymatic,Nucleic Acid Binding,risk-specific,NO,ADAMTS7
ADAMTS7,ARMC8,0.415037499,0.415037499,shared,5.666666667,4,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,ARMC8,Catalytic/Enzymatic,Catalytic/Enzymatic,shared,NO,ADAMTS7
ADAMTS7,ARMC8,0.415037499,0.415037499,shared,5.666666667,4,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,ARMC8,Catalytic/Enzymatic,Catalytic/Enzymatic,shared,NO,ADAMTS7
ADAMTS7,FBLN1,2.321928095,2.321928095,risk-specific,4,0,Interaction,NO,NO,NO,NO,NO,YES,NO,ADAMTS7,FBLN1,Catalytic/Enzymatic,Structural,risk-specific,NO,ADAMTS7
ADAMTS7,FBN1,2.222392421,2.222392421,risk-specific,3.666666667,0,Interaction,YES,NO,NO,NO,NO,NO,NO,ADAMTS7,FBN1,Catalytic/Enzymatic,Differentiation/Development,risk-specific,NO,ADAMTS7
ADAMTS7,FBN2,3.736965594,3.736965594,risk-specific,12.33333333,0,Interaction,YES,NO,NO,YES,NO,YES,NO,ADAMTS7,FBN2,Catalytic/Enzymatic,Differentiation/Development,risk-specific,NO,ADAMTS7
ADAMTS7,GLB1,2.584962501,2.584962501,risk-specific,5,0,Interaction,NO,NO,NO,NO,NO,YES,NO,ADAMTS7,GLB1,Catalytic/Enzymatic,Metabolic,risk-specific,NO,ADAMTS7
ADAMTS7,GPN1,-0.378511623,0.378511623,shared,2.333333333,3.333333333,Interaction,NO,NO,NO,NO,YES,NO,NO,ADAMTS7,GPN1,Catalytic/Enzymatic,Nucleotide Binding,shared,NO,ADAMTS7
ADAMTS7,GPN1,-0.378511623,0.378511623,shared,2.333333333,3.333333333,Interaction,NO,NO,NO,NO,YES,NO,NO,ADAMTS7,GPN1,Catalytic/Enzymatic,Nucleotide Binding,shared,NO,ADAMTS7
